tabled_Innskudd,tabled_Antall eiere,tabled_Hjuldrift,tabled_1. gang registrert,tabled_Antall seter,tabled_Drivstoff,title,tabled_Antall dører,tabled_Bilen står i,tabled_Reg.nr.,tabled_Salgsform,tabled_Avgiftsklasse,price,tabled_Str. lasterom,tabled_Km.stand,place,tabled_Årsmodell,tabled_CO2 utslipp,tabled_Hjuldriftnavn,tabled_Karosseri,tabled_Årsavgift,tabled_Pris eks omreg,tabled_Vekt,tabled_Girkasse,tabled_Fargebeskrivelse,tabled_Farge,tabled_Omregistrering,id,tabled_Forrige pris,tabled_Effekt,tabled_Sylindervolum,tabled_Interiørfarge
,2,Forhjulsdrift,11.11.2005,5,Diesel,Toyota Corolla,5,Norge,DL25126,Bruktbil til salgs,Personbil,19900,,254200,1911 Flateby,2005,128 g/km,,Stasjonsvogn,Ikke inklusiv,18331,1 235 kg,Manuell,,Sølv,1569,83133352,,90,"1,4 l",
,5,Forhjulsdrift,01.09.2006,5,Bensin,Audi A6,5,Norge,PD20455,Bruktbil til salgs,Personbil,135000,,177000,3159 Melsomvik,2006,199 g/km,,Stasjonsvogn,Ikke inklusiv,131340,1 620 kg,Automat,Daytonagrå,Grå,3660,96061915,,170,2 l,sort
,,Firehjulsdrift,13.11.2015,5,Bensin,Mercedes-Benz C-Klasse,,Norge,,Bruktbil til salgs,Personbil,799000,,29000,0975 Oslo,2016,,,Stasjonsvogn,Ikke inklusiv,792936,1 660 kg,Automat,,Svart,6064,98683052,,367,,Sort Skinn/Alcantara
,,Firehjulsdrift,07.11.2002,5,Bensin,Volvo S60,4,Norge,PP46115,Bruktbil til salgs,Personbil,61569,,263000,2322 Ridabu,2003,246 g/km,,Sedan,Inklusiv,60000,1 579 kg,Automat,,Grå,1569,98679823,,209,"2,5 l",Svart
,6,Forhjulsdrift,07.09.1999,5,Bensin,Volkswagen Passat,4,Norge,TF17518,Bruktbil til salgs,Personbil,7000,,270742,5993 Ostereidet,2000,,,Sedan,Inklusiv,5431,1 233 kg,Manuell,,Blå,1569,98678500,,101,"1,6 l",
,2,Forhjulsdrift,22.08.2016,5,Bensin,Fiat,2,Norge,CV81035,Bruktbil til salgs,Personbil,30000,,109687,3050 Mjøndalen,1974,,,Sedan,Inklusiv,,840 kg,Manuell,,Grønn,Fritatt,98681027,,54,"1,1 l",
,2,Firehjulsdrift,10.08.2012,5,Diesel,BMW X3,5,Norge,NF56487,Bruktbil til salgs,Personbil,399000,,63000,9411 Harstad,2012,147 g/km,xDrive,SUV/Offroad,Inklusiv,395340,1 725 kg,Automat,Svart Metallic,Svart,3660,98674152,,163,2 l,"Svart skinn, sportsseter"
,1,Bakhjulsdrift,28.03.2012,4,Elektrisitet,Citroen,5,Norge,EL13993,Bruktbil til salgs,Personbil,37614,,117572,3029 Drammen,2012,,,Kombi 5-dørs,,35000,1 120 kg,Automat,,Svart,2614,98682235,,48,,
,6,Bakhjulsdrift,09.07.1998,6,Bensin,Lincoln,2,Norge,U083364,Bruktbil til salgs,Personbil,70000,,42000,3158 Andebu,1968,,,Coupe,Inklusiv,,2 325 kg,Automat,,Hvit,Fritatt,96662285,,250,"7,6 l",Grønn
,2,Forhjulsdrift,27.09.2007,5,Bensin,Ford Fiesta,5,Norge,BD55812,Bruktbil til salgs,Personbil,39614,,110300,0566 Oslo,2007,147 g/km,,Kombi 5-dørs,Inklusiv,37000,1 026 kg,Manuell,,Hvit,2614,98666641,,80,"1,4 l",Svart
,2,Forhjulsdrift,30.01.2017,5,Diesel,Toyota Avensis,4,Norge,DR21643,Bruktbil til salgs,Personbil,78660,,260000,2020 Skedsmokorset,2010,176 g/km,,Stasjonsvogn,Ikke inklusiv,75000,1 570 kg,Automat,,Blå,3660,98531167,,150,"2,2 l",Svart Skinn
,3,Firehjulsdrift,08.03.2000,5,Diesel,Mitsubishi L200,4,Norge,YU25106,Bruktbil til salgs,Personbil,51069,,221200,8403 Sortland,2000,,,Flerbruksbil,,49500,1 790 kg,Manuell,,Hvit,1569,98681610,,99,"2,5 l",
,2,Firehjulsdrift,05.05.2009,5,Diesel,Volkswagen Tiguan,5,Norge,DN19604,Bruktbil til salgs,Personbil,158660,,171000,0357 Oslo,2009,199 g/km,,SUV/Offroad,Ikke inklusiv,155000,1 604 kg,Automat,,Svart,3660,98656198,,140,2 l,
,2,Firehjulsdrift,24.09.2010,5,Diesel,Audi A4 allroad,,Norge,,Bruktbil til salgs,Personbil,223660,,95500,6004 Ålesund,2010,,Quattro,Stasjonsvogn,Inklusiv,220000,1 630 kg,Manuell,,Sølv,3660,98680110,,170,2 l,
,2,Forhjulsdrift,05.08.1999,5,Bensin,Audi A4,5,Norge,FS89480,Bruktbil til salgs,Personbil,30000,,184000,2318 Hamar,2000,,,Stasjonsvogn,Inklusiv,28431,1 285 kg,Manuell,,Grå,1569,98681869,,125,"1,8 l",
,4,Forhjulsdrift,20.06.2002,5,Diesel,Saab 9-5,5,Norge,ST66716,Bruktbil til salgs,Personbil,44900,,249700,5228 Nesttun,2002,178 g/km,,Stasjonsvogn,Inklusiv,43331,1 635 kg,Manuell,Silver Metallic,Sølv,1569,98681031,,120,"2,2 l",Grå stoffseter
,1,Forhjulsdrift,01.07.1999,9,Diesel,Volkswagen Caravelle,4,Norge,VB12215,Bruktbil til salgs,Personbil,21569,,358000,6683 Vågland,2000,,,Kasse,Inklusiv,20000,1 865 kg,Manuell,,Grønn,1569,98171119,,102,"2,5 l",
,2,Forhjulsdrift,14.05.2007,5,Bensin,Nissan Qashqai,5,Norge,BR48297,Bruktbil til salgs,Personbil,108660,,91300,1364 Fornebu,2007,162 g/km,,Kombi 5-dørs,Ikke inklusiv,105000,1 297 kg,Manuell,Hazy gold,Gul,3660,98680888,,114,"1,6 l",Dark grey
,3,Forhjulsdrift,18.11.2005,7,Bensin,Mazda 5,5,Norge,LJ21021,Bruktbil til salgs,Personbil,38569,,200856,2380 Brumunddal,2005,190 g/km,,Stasjonsvogn,Ikke inklusiv,37000,1 395 kg,Manuell,,Svart,1569,98644894,,116,"1,8 l",
,2,Forhjulsdrift,31.07.2008,5,Diesel,Citroen C5,5,Norge,BR68970,Bruktbil til salgs,Personbil,49990,,210000,3470 Slemmestad,2008,150 g/km,,Stasjonsvogn,Inklusiv,46330,1 537 kg,Manuell,Svart metallic,Svart,3660,98681071,,109,"1,6 l","Svart, delskinn"
,6,Firehjulsdrift,14.03.2006,5,Bensin,Suzuki Swift,5,Norge,PD18837,Bruktbil til salgs,Personbil,32614,,188000,4622 Kristiansand,2006,154 g/km,,Kombi 5-dørs,Inklusiv,30000,1 060 kg,Manuell,,Lilla,2614,98680880,,91,"1,3 l",
