tabled_Innskudd,tabled_Antall eiere,tabled_Hjuldrift,tabled_1. gang registrert,tabled_Antall seter,tabled_Drivstoff,title,tabled_Antall dører,tabled_Bilen står i,tabled_Reg.nr.,tabled_Salgsform,tabled_Avgiftsklasse,price,tabled_Str. lasterom,tabled_Km.stand,place,tabled_Årsmodell,tabled_CO2 utslipp,tabled_Hjuldriftnavn,tabled_Karosseri,tabled_Årsavgift,tabled_Pris eks omreg,tabled_Vekt,tabled_Girkasse,tabled_Fargebeskrivelse,tabled_Farge,tabled_Omregistrering,id,tabled_Forrige pris,tabled_Effekt,tabled_Sylindervolum,tabled_Interiørfarge
,2,Forhjulsdrift,27.10.2011,5,Diesel,Volkswagen Golf,5,Norge,,Bruktbil til salgs,Personbil,113660,,49000,1368 Stabekk,2012,107 g/km,,Kombi 5-dørs,Inklusiv,110000,1 243 kg,Manuell,,Svart,3660,95644949,,105,"1,6 l",
,3,Firehjulsdrift,25.11.2011,5,Diesel,Audi A4 allroad,,Norge,,Bruktbil til salgs,Personbil,199660,,154000,3031 Drammen,2011,,,Stasjonsvogn,Inklusiv,196000,1 630 kg,Manuell,Grå/sølv,Grå,3660,92888556,,170,2 l,Svart
,,Forhjulsdrift,11.05.2011,5,Diesel,Audi A4,5,,NF49140,Auksjon,Personbil,125160,,120507,3170 Sem,2011,,,Stasjonsvogn,Inklusiv,,1 530 kg,Manuell,Rød,Rød,3660,98365983,,120,1 968 l,
,,Bakhjulsdrift,,4,Bensin,Pontiac Trans Am,2,Norge,vx34413,Bruktbil til salgs,Annet,239000,,56000,1604 Fredrikstad,1978,,,Coupe,Ikke inklusiv,,,Automat,,Brun,Fritatt,98365317,,,"6,6 l",Beige
,1,Firehjulsdrift,06.02.2015,2,Diesel,Volkswagen Caddy,5,Norge,FT49211,Bruktbil til salgs,Varebil,199000,,37500,2500 Tynset,2015,171 g/km,4MOTION,Stasjonsvogn,Inklusiv,197013,1 445 kg,Manuell,,Sølv,1987,98364973,,110,2 l,
,3,Firehjulsdrift,29.09.2011,3,Diesel,Volkswagen Transporter,5,Norge,RK36669,Bruktbil til salgs,Varebil,199255,,90000,6265 Vatne,2012,219 g/km,,Kasse,Inklusiv,198000,1 842 kg,Manuell,,Hvit,1255,98364984,,140,2 l,
,,Bakhjulsdrift,23.12.2009,5,Diesel,Mercedes-Benz E-Klasse,,Norge,BR89483,Bruktbil til salgs,Personbil,139660,,255000,6260 Skodje,2010,145 g/km,,Sedan,Inklusiv,136000,,Automat,,Grå,3660,96779653,,136,"2,1 l",Sort
,2,Bakhjulsdrift,21.10.2010,5,Diesel,Mercedes-Benz E-Klasse,4,Norge,XV64367,Bruktbil til salgs,Personbil,172660,,131923,7507 Stjørdal,2009,187 g/km,,Sedan,Ikke inklusiv,169000,1 565 kg,Automat,,Svart,3660,98365227,,170,"2,1 l",
,2,Firehjulsdrift,28/12/2006,5,Diesel,Honda CR-V,,Norge,xr51522,Nybil til salgs,Personbil,129000,,179102,7725 Steinkjer,2007,173 g/km,,SUV/Offroad,Inklusiv,125340,,Manuell,,Grå,3660,98364715,,140,"2,2 l",sort skinn
,,Firehjulsdrift,20.07.2012,5,Diesel,Opel Antara,5,Norge,DN94205,Bruktbil til salgs,Personbil,269000,370 l,51400,3474 Åros,2012,,,SUV/Offroad,Ikke inklusiv,265340,1 861 kg,Automat,Grå,Grå,3660,98365826,,163,"2,2 l",Sort skinn
,1,Firehjulsdrift,15.03.2012,5,Diesel,Subaru XV,5,Norge,SD60891,Bruktbil til salgs,Personbil,229900,380 l,48000,5412 Stord,2012,,,Kombi 5-dørs,Ikke inklusiv,226240,1 415 kg,Manuell,Ice Silver Metallic,Sølv,3660,98365859,,109,2 l,Sort
,,Firehjulsdrift,,5,Diesel,Audi Q5,,Norge,kh73326,Bruktbil til salgs,Personbil,219900,,157421,3612 Kongsberg,2011,162 g/km,,SUV/Offroad,Ikke inklusiv,216240,,Manuell,met,Blå,3660,98365802,,143,2 l,sort sportsskinn
